CANCER_TYPE,ONCOTREE_CODE,cancerAnalyzed
Breast Sarcoma,BLPT,Breast Cancer
Breast Sarcoma,FA,Breast Cancer
Leukemia,AMLRBM15MKL1,Hematologic Cancer-Myeloid
Mature B-Cell Neoplasms,MGUSIGA,Hematologic Cancer-Lymphoid
Mature B-Cell Neoplasms,PTFL,Hematologic Cancer-Lymphoid
Mature T and NK Neoplasms,LYP,Hematologic Cancer-Lymphoid
Posttransplant Lymphoproliferative Disorders,PPTLD,Hematologic Cancer-Lymphoid
Sialoblastoma,SBL,Rare Cancer
Bladder Cancer,BLAD,Bladder Cancer
Bladder Cancer,BLCA,Bladder Cancer
Bladder Cancer,BLSC,Bladder Cancer
Bladder Cancer,IMTB,Bladder Cancer
Bladder Cancer,IUP,Bladder Cancer
Bladder Cancer,SCB,Bladder Cancer
Bladder Cancer,SCBC,Bladder Cancer
Bladder Cancer,SRCBC,Bladder Cancer
Bladder Cancer,UA,Bladder Cancer
Bladder Cancer,UAD,Bladder Cancer
Bladder Cancer,UCA,Bladder Cancer
Bladder Cancer,UCU,Bladder Cancer
Bladder Cancer,UPA,Bladder Cancer
Bladder Cancer,URCA,Bladder Cancer
Bladder Cancer,USCC,Bladder Cancer
Bladder Cancer,UTUC,Bladder Cancer
Bladder/Urinary Tract Cancer,BLADDER,Bladder Cancer
Colorectal Cancer,CAIS,Bowel Cancer-Colorectal
Colorectal Cancer,CMC,Bowel Cancer-Colorectal
Colorectal Cancer,COAD,Bowel Cancer-Colorectal
Colorectal Cancer,COADREAD,Bowel Cancer-Colorectal
Colorectal Cancer,MACR,Bowel Cancer-Colorectal
Colorectal Cancer,READ,Bowel Cancer-Colorectal
Colorectal Cancer,SRCCR,Bowel Cancer-Colorectal
Anal Cancer,AGA,Bowel Cancer-Other
Anal Cancer,ANSC,Bowel Cancer-Other
Appendiceal Cancer,APAD,Bowel Cancer-Other
Appendiceal Cancer,CTAAP,Bowel Cancer-Other
Appendiceal Cancer,GCCAP,Bowel Cancer-Other
Appendiceal Cancer,LAMN,Bowel Cancer-Other
Appendiceal Cancer,MAAP,Bowel Cancer-Other
Appendiceal Cancer,SRAP,Bowel Cancer-Other
Bowel Cancer,BOWEL,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,AWDNET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,GINET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,HGNEC,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,RWDNET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,SBWDNET,Bowel Cancer-Other
Gastrointestinal Neuroendocrine Tumor,SWDNET,Bowel Cancer-Other
Small Bowel Cancer,DA,Bowel Cancer-Other
Small Bowel Cancer,SBC,Bowel Cancer-Other
Small Bowel Cancer,SIC,Bowel Cancer-Other
Tubular Adenoma of the Colon,TAC,Bowel Cancer-Other
Breast Cancer,ACBC,Breast Cancer
Breast Cancer,BNNOS,Breast Cancer
Breast Cancer,BRAME,Breast Cancer
Breast Cancer,BRCA,Breast Cancer
Breast Cancer,BRCANOS,Breast Cancer
Breast Cancer,BRCNOS,Breast Cancer
Breast Cancer,BREAST,Breast Cancer
Breast Cancer,BRSRCC,Breast Cancer
Breast Cancer,CCHM,Breast Cancer
Breast Cancer,COM,Breast Cancer
Breast Cancer,CSNOS,Breast Cancer
Breast Cancer,DCIS,Breast Cancer
Breast Cancer,EMBC,Breast Cancer
Breast Cancer,IBC,Breast Cancer
Breast Cancer,IDC,Breast Cancer
Breast Cancer,ILC,Breast Cancer
Breast Cancer,IMMC,Breast Cancer
Breast Cancer,JSCB,Breast Cancer
Breast Cancer,LCIS,Breast Cancer
Breast Cancer,MASC,Breast Cancer
Breast Cancer,MASCC,Breast Cancer
Breast Cancer,MBC,Breast Cancer
Breast Cancer,MCS,Breast Cancer
Breast Cancer,MDLC,Breast Cancer
Breast Cancer,MMBC,Breast Cancer
Breast Cancer,MSCC,Breast Cancer
Breast Cancer,PD,Breast Cancer
Breast Cancer,SPC,Breast Cancer
