Samples	SBS1	SBS2	SBS3	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS13	SBS17a	SBS17b	SBS18	SBS40
NSLC-0023-T01	42	0	274	651	0	0	0	0	0	0	0	0	0	0
NSLC-0024-T01	91	483	0	1358	0	274	0	0	0	134	0	0	254	0
NSLC-0025-T01	17	0	0	303	0	0	0	0	0	0	0	0	0	0
NSLC-0026-T01	195	325	0	2258	0	0	0	0	0	332	0	0	689	0
NSLC-0027-T01	389	0	0	794	0	0	0	0	0	0	0	0	0	1163
NSLC-0028-T01	209	102	835	1423	0	0	0	0	0	0	0	0	0	0
NSLC-0029-T01	469	230	1335	1929	0	0	0	0	0	0	0	0	743	0
NSLC-0030-T01	117	371	829	454	0	0	0	0	0	454	0	0	0	0
NSLC-0031-T01	375	0	0	683	0	0	0	0	0	0	0	0	0	1179
NSLC-0032-T01	149	0	3437	1907	0	0	0	0	0	0	244	905	0	0
NSLC-0033-T01	180	167	913	1829	0	0	0	0	0	92	0	0	1066	0
NSLC-0034-T01	93	0	0	1150	0	0	0	0	0	0	0	0	0	0
NSLC-0035-T01	38	0	0	1459	0	0	0	0	0	0	0	0	0	0
NSLC-0036-T01	145	127	900	1062	0	0	0	0	0	149	0	0	411	0
NSLC-0037-T01	326	493	1445	1364	0	0	0	0	0	382	0	0	0	0
NSLC-0038-T01	20	0	0	607	0	0	0	0	0	0	0	0	0	0
NSLC-0039-T01	272	704	0	1876	0	0	0	0	735	482	0	0	411	0
NSLC-0041-T01	618	176	0	1395	0	0	0	0	0	162	0	0	0	2036
NSLC-0042-T01	43	57	334	367	0	0	0	0	0	48	0	0	0	0
NSLC-0043-T01	515	329	0	3157	0	0	0	0	0	382	0	0	1780	0
NSLC-0044-T01	150	180	830	1137	0	0	0	0	0	105	0	0	0	0
NSLC-0045-T01	260	136	0	1615	0	0	0	0	0	121	0	0	332	0
NSLC-0046-T01	81	0	497	904	0	0	0	0	0	0	0	0	0	0
NSLC-0047-T01	121	130	342	726	0	0	0	0	0	41	0	0	150	0
NSLC-0048-T01	261	0	0	1123	0	0	0	0	0	0	0	0	0	1387
NSLC-0049-T01	169	405	1064	1346	0	0	0	0	0	302	0	0	0	0
NSLC-0050-T01	32	0	0	122	0	0	0	0	0	0	0	0	0	223
NSLC-0051-T01	25	0	0	638	0	0	0	0	0	0	0	0	0	0
NSLC-0053-T01	90	67	0	1515	0	0	0	0	0	43	0	0	274	0
NSLC-0054-T01	411	219	0	912	0	0	0	0	0	313	0	0	0	4151
NSLC-0055-T01	143	0	0	0	0	0	0	0	10267	0	0	0	0	8339
NSLC-0057-T01	217	619	0	1547	0	0	0	0	0	344	415	951	0	4051
NSLC-0058-T01	99	875	1355	704	0	0	0	0	0	703	0	0	0	0
NSLC-0059-T01	18	0	0	139	0	0	0	0	0	0	0	0	31	0
NSLC-0060-T01	41	0	433	1069	0	0	0	0	0	0	0	0	0	0
NSLC-0061-T01	257	496	0	1398	0	0	0	0	0	381	0	0	1379	2941
NSLC-0062-T01	160	266	705	1500	0	0	0	0	0	88	0	0	297	0
NSLC-0063-T01	38	0	247	720	0	0	0	0	0	0	0	0	122	0
NSLC-0064-T01	57	200	1284	1743	0	0	0	0	0	90	0	0	406	0
NSLC-0065-T01	167	12035	0	3424	0	0	0	0	0	10366	0	0	0	0
NSLC-0066-T01	154	109	800	1191	0	0	0	0	0	0	0	0	0	0
NSLC-0067-T01	178	236	1174	1570	0	0	0	0	0	0	0	0	699	0
NSLC-0068-T01	24	26	170	196	0	0	0	0	0	16	0	0	0	0
NSLC-0069-T01	320	0	0	946	0	0	0	0	0	0	0	0	0	944
NSLC-0071-T01	130	210	1238	1207	0	0	0	0	0	302	0	0	706	0
NSLC-0072-T01	67	0	0	542	0	0	0	0	0	0	0	0	0	271
NSLC-0073-T01	128	82	694	1249	0	0	0	0	0	0	0	0	223	0
NSLC-0074-T01	136	289	0	1915	0	0	0	0	0	115	0	0	504	0
NSLC-0076-T01	98	224	949	1298	0	0	0	0	0	119	0	0	0	0
NSLC-0077-T01	33	0	0	921	0	0	0	0	221	0	0	0	0	0
NSLC-0078-T01	246	210	875	1544	0	0	0	0	0	106	0	0	264	0
NSLC-0079-T01	263	831	2736	2490	0	0	0	0	0	987	0	0	1223	0
NSLC-0080-T01	351	420	0	2486	0	0	0	0	1009	317	0	0	1020	0
NSLC-0081-T01	345	146	1200	1550	0	0	0	0	0	0	0	0	705	0
NSLC-0082-T01	29	0	0	116	0	0	0	0	0	0	0	0	0	190
NSLC-0083-T01	87	0	456	963	0	0	0	0	0	0	0	0	0	0
NSLC-0084-T01	10	0	0	45	17	0	0	0	0	0	0	0	0	92
NSLC-0085-T01	264	370	1018	1397	0	0	0	0	0	320	0	0	0	0
NSLC-0086-T01	110	253	895	1084	0	198	0	0	0	198	0	0	427	0
NSLC-0087-T01	222	184	1506	1604	0	0	0	0	0	121	0	0	0	0
NSLC-0088-T01	252	0	845	2512	0	0	0	0	0	0	0	0	485	0
NSLC-0090-T01	156	17237	0	1684	0	0	0	0	0	18443	0	0	0	0
NSLC-0092-T01	236	178	1142	1795	0	0	0	0	0	97	0	0	510	0
NSLC-0092-T03	679	557	2203	2934	0	0	0	0	0	326	0	0	1335	0
NSLC-0092-T05	402	456	0	1636	0	0	0	0	0	432	0	0	422	2503
NSLC-0092-T06	333	374	1358	2102	0	0	0	0	0	202	0	0	615	0
NSLC-0092-T07	368	253	1494	2114	0	0	0	0	0	154	0	0	725	0
NSLC-0092-T08	313	284	1319	2028	0	0	0	0	0	142	0	0	632	0
NSLC-0093-T01	416	146	1379	1788	0	0	0	0	0	190	0	0	0	0
NSLC-0094-T01	6	0	0	99	0	0	0	0	43	0	0	0	0	0
NSLC-0095-T01	246	144	805	1948	0	0	0	0	0	117	0	0	667	0
NSLC-0096-T01	29	0	0	39	0	0	0	0	0	0	0	0	0	154
NSLC-0097-T01	182	78	640	1172	0	0	0	0	0	0	0	0	222	0
NSLC-0098-T02	64	0	354	1389	0	0	0	0	443	0	0	0	0	0
NSLC-0098-T04	50	0	380	1352	0	0	0	0	420	0	0	0	0	0
NSLC-0100-T01	146	447	0	1159	0	190	0	0	0	434	0	0	289	0
NSLC-0100-T02	214	725	896	1092	0	0	0	0	0	667	0	0	0	0
NSLC-0100-T03	5	8	0	115	0	22	0	0	0	18	0	0	0	0
NSLC-0100-T04	175	587	759	992	0	0	0	0	0	500	0	0	0	0
NSLC-0101-T01	447	2537	0	3962	0	0	0	0	0	1536	0	0	850	0
NSLC-0102-T01	127	120	0	1058	0	0	0	0	0	89	0	0	920	1435
NSLC-0103-T01	152	325	0	917	0	0	0	0	0	211	0	0	561	1479
NSLC-0104-T01	158	2481	0	1831	0	0	0	0	0	1777	0	0	0	0
NSLC-0105-T01	92	48	426	742	0	0	0	0	0	0	0	0	169	0
NSLC-0106-T01	36	0	262	468	0	0	0	0	0	0	0	0	0	0
NSLC-0107-T01	332	0	0	1934	0	0	0	0	0	315	125	300	0	3945
NSLC-0108-T01	414	1925	4154	2474	0	0	0	0	0	1901	0	0	0	0
NSLC-0109-T01	397	0	0	1291	0	0	0	0	0	0	537	793	0	2772
NSLC-0109-T02	283	0	0	832	0	0	0	0	0	0	0	0	0	1794
NSLC-0109-T03	335	0	0	1011	0	0	0	0	0	0	70	173	0	1840
NSLC-0109-T04	244	0	0	739	0	0	0	0	0	0	0	0	0	1546
NSLC-0109-T05	52	0	0	203	0	0	0	0	0	0	27	22	0	306
NSLC-0109-T06	14	0	0	114	0	0	0	0	0	0	0	0	0	0
NSLC-0109-T07	173	0	0	483	0	0	0	0	0	0	0	0	0	1111
NSLC-0110-T01	50	0	0	290	0	0	0	0	0	0	0	0	0	230
NSLC-0111-T01	153	0	0	510	0	0	0	0	0	0	0	0	0	1777
NSLC-0112-T01	296	298	1989	1776	0	0	0	0	0	308	0	0	628	0
NSLC-0113-T01	94	0	0	1032	0	0	0	0	2052	0	0	0	1274	4324
NSLC-0114-T01	581	103	0	1953	0	0	0	0	0	0	0	0	503	0
NSLC-0115-T01	377	404	0	1863	0	0	0	0	1652	531	0	0	0	3680
NSLC-0116-T01	195	199	1105	1076	0	0	0	0	0	101	0	0	437	0
NSLC-0117-T01	116	352	0	4266	0	0	0	0	3229	268	0	0	2285	0
NSLC-0118-T01	107	24898	0	5837	0	0	0	0	0	28729	0	0	0	0
NSLC-0119-T01	46	0	646	1155	0	0	0	0	0	0	0	0	0	0
NSLC-0120-T01	266	173	0	2041	0	0	0	0	1255	237	0	0	0	1927
NSLC-0121-T01	121	0	0	374	0	0	0	0	0	0	0	0	0	577
NSLC-0122-T01	154	44	564	1079	0	0	0	0	0	71	0	0	0	0
NSLC-0123-T01	212	198	0	1873	0	0	0	0	538	183	0	0	1450	0
NSLC-0124-T01	130	0	495	1252	0	0	0	0	0	0	0	0	249	0
NSLC-0125-T01	66	0	0	445	0	0	0	0	0	0	0	0	0	399
NSLC-0126-T01	26	0	515	1418	0	0	0	0	0	0	0	0	0	0
NSLC-0127-T01	47	0	263	769	0	0	0	0	0	0	0	0	0	0
NSLC-0128-T01	68	0	552	1298	0	0	0	0	0	0	0	0	0	0
NSLC-0129-T01	128	426	973	511	0	0	0	0	0	492	0	0	0	0
NSLC-0130-T01	495	656	2130	2922	0	0	0	0	0	553	0	0	664	0
NSLC-0131-T01	225	257	1724	1828	0	0	0	0	0	373	0	0	543	0
NSLC-0132-T01	44	0	0	726	0	0	0	0	0	0	0	0	0	0
NSLC-0133-T01	11	26	0	121	0	0	0	0	0	0	0	0	40	0
NSLC-0134-T01	97	0	412	1300	0	0	0	0	402	0	0	0	0	0
NSLC-0135-T01	367	0	0	1399	0	0	0	0	0	0	0	0	0	1444
NSLC-0136-T01	412	2195	0	474	0	0	0	0	0	2992	0	0	0	4866
NSLC-0137-T01	24	0	0	356	0	0	0	0	0	0	0	0	0	0
NSLC-0138-T01	36	72	395	694	0	0	0	0	0	0	0	0	206	0
NSLC-0139-T01	606	1139	0	2779	0	952	0	0	0	424	0	0	0	0
NSLC-0140-T01	152	198	1119	1633	0	0	0	0	0	101	0	0	0	0
NSLC-0142-T01	63	0	242	278	0	0	0	0	0	0	0	0	0	0
NSLC-0143-T01	40	0	0	90	0	0	0	0	0	0	0	0	0	443
NSLC-0144-T01	474	315	1481	1993	0	0	0	0	0	390	0	0	587	0
NSLC-0145-T01	708	155	0	802	0	0	0	0	0	0	0	0	0	2811
NSLC-0146-T01	275	227	1066	1894	0	0	0	0	0	120	0	0	331	0
NSLC-0147-T01	348	347	0	1195	0	0	0	0	0	294	0	0	2694	1751
NSLC-0148-T01	801	349	0	2171	0	0	0	0	0	350	0	0	1845	2572
NSLC-0149-T01	66	0	0	1513	0	0	0	0	562	0	0	0	0	0
NSLC-0150-T01	66	0	0	1402	0	0	0	0	245	0	0	0	0	0
NSLC-0151-T01	122	681	1530	1362	0	0	0	0	0	512	0	0	390	0
NSLC-0152-T01	216	180	1093	1779	0	0	0	0	0	163	0	0	0	0
NSLC-0153-T01	17	0	0	858	0	0	0	0	202	0	0	0	0	0
NSLC-0154-T01	140	85	1024	981	0	0	0	0	0	0	0	0	325	0
NSLC-0155-T01	159	272	1448	1565	0	0	0	0	0	187	0	0	0	0
NSLC-0156-T01	282	167	1003	1406	0	0	0	0	0	106	0	0	304	0
NSLC-0157-T01	239	312	1869	1273	0	0	0	0	0	295	0	0	719	0
NSLC-0158-T01	82	0	0	1557	0	0	0	0	0	0	0	0	0	0
NSLC-0159-T01	20	0	0	1104	0	0	0	0	0	0	0	0	0	0
NSLC-0160-T01	118	0	0	409	0	0	0	0	0	0	0	0	0	984
NSLC-0161-T01	33	171	357	893	0	0	0	0	0	39	0	0	129	0
NSLC-0162-T01	9	0	0	274	0	0	0	0	0	0	0	0	0	0
NSLC-0163-T01	37	0	0	2483	0	0	0	0	1976	0	0	0	0	0
NSLC-0164-T01	45	0	0	732	0	0	0	0	156	0	0	0	0	0
NSLC-0165-T01	45	0	516	1101	0	0	0	0	0	0	0	0	0	0
NSLC-0166-T01	235	160	1024	1550	0	0	0	0	0	149	0	0	364	0
NSLC-0167-T01	674	0	0	1472	0	0	0	0	0	0	0	0	0	1394
NSLC-0167-T02	612	0	0	1552	0	0	0	0	0	0	0	0	0	1299
NSLC-0167-T03	568	0	0	1590	0	0	0	0	0	0	0	0	0	1126
NSLC-0167-T04	573	0	0	1394	0	0	0	0	0	0	0	0	0	1255
NSLC-0167-T05	602	0	0	1395	0	0	0	0	0	0	0	0	0	1288
NSLC-0167-T06	664	0	0	1456	0	0	0	0	0	0	0	0	0	1454
NSLC-0167-T07	668	0	0	1489	0	0	0	0	0	0	0	0	0	1380
NSLC-0167-T08	509	0	0	1290	0	0	0	0	0	0	0	0	0	1159
NSLC-0167-T09	608	0	0	1426	0	0	0	0	0	0	0	0	0	1267
NSLC-0167-T10	627	0	0	1399	0	0	0	0	0	0	0	0	0	1306
NSLC-0167-T11	702	0	0	1489	0	0	0	0	0	0	0	0	0	1357
NSLC-0168-T01	1003	365	0	1837	0	0	0	0	0	301	502	1387	1888	3783
NSLC-0169-T01	62	0	0	2004	0	0	0	0	732	0	0	0	0	0
NSLC-0170-T01	587	0	0	2424	0	0	0	0	2103	0	0	0	0	5702
NSLC-0171-T01	398	103	0	811	0	0	0	0	0	70	0	0	0	1538
NSLC-0172-T01	87	138	576	1456	0	0	0	0	815	70	0	0	0	0
NSLC-0173-T01	807	375	0	2137	0	0	0	0	0	506	0	0	1315	5567
NSLC-0174-T01	178	153	762	1432	0	0	0	0	0	64	0	0	0	0
NSLC-0175-T01	109	0	715	909	0	0	0	0	0	0	0	0	213	0
NSLC-0176-T01	375	382	2444	3241	0	0	0	0	0	278	0	0	1178	0
NSLC-0177-T01	185	148	711	1033	0	0	0	0	0	0	0	0	231	0
NSLC-0178-T01	222	874	1613	1365	0	0	0	0	0	534	0	0	648	0
NSLC-0180-T01	412	0	0	1240	0	0	0	0	2030	0	0	0	0	2718
NSLC-0181-T01	344	157	1503	2076	0	0	0	0	0	0	0	0	512	0
NSLC-0182-T01	802	466	2622	2535	0	0	0	0	0	264	0	0	944	0
NSLC-0183-T01	340	220	2052	2538	0	0	0	0	0	0	0	0	1265	0
NSLC-0184-T01	164	191	1031	1615	0	0	0	0	0	0	0	0	337	0
NSLC-0185-T01	172	0	0	2069	0	0	0	0	0	0	0	0	0	0
NSLC-0186-T01	146	136	960	1059	0	0	0	0	0	56	0	0	0	0
NSLC-0187-T01	240	381	1314	1855	0	0	0	0	0	121	0	0	393	0
NSLC-0188-T01	264	0	0	3219	0	0	0	0	0	0	0	0	323	0
NSLC-0189-T01	7	0	0	104	0	0	0	0	0	0	0	0	0	0
NSLC-0190-T01	95	0	0	437	0	0	0	0	0	0	0	0	145	0
NSLC-0191-T01	157	176	2356	1968	0	0	0	0	0	124	0	0	0	0
NSLC-0192-T01	396	1343	0	5576	0	0	0	0	0	1325	0	0	1454	0
NSLC-0193-T01	190	200	1781	1845	0	0	0	0	0	218	0	0	0	0
NSLC-0194-T01	247	243	0	2130	0	0	0	0	0	272	0	0	1714	0
NSLC-0195-T01	148	90	737	1037	0	0	0	0	0	0	0	0	262	0
NSLC-0196-T01	279	904	0	3390	0	0	0	0	0	1356	0	0	812	0
NSLC-0197-T01	429	1097	2251	2341	0	0	0	0	0	290	0	0	0	0
NSLC-0198-T01	417	0	0	1428	0	0	0	0	0	0	0	0	0	1363
NSLC-0199-T01	131	0	749	1304	0	0	0	0	0	0	0	0	0	0
NSLC-0200-T01	370	532	1993	3370	0	0	0	0	0	190	0	0	939	0
NSLC-0201-T01	45	0	0	507	0	0	0	0	0	33	0	0	117	0
NSLC-0203-T01	167	0	444	1128	0	0	0	0	613	0	0	0	237	0
NSLC-0204-T01	350	433	2291	1860	0	0	0	0	1052	322	0	0	1050	0
NSLC-0207-T01	265	283	0	2806	0	0	0	0	0	225	0	0	425	0
NSLC-0209-T01	215	121	710	1217	0	0	0	0	0	0	0	0	395	0
NSLC-0210-T01	253	0	653	1156	0	0	0	0	0	0	0	0	338	0
NSLC-0212-T01	135	64	597	979	0	0	0	0	0	58	0	0	182	0
NSLC-0213-T01	121	148	1379	2100	0	0	0	0	0	0	0	0	424	0
NSLC-0214-T01	12	0	92	40	0	0	0	0	0	0	0	0	0	0
NSLC-0215-T01	228	1040	3377	2167	0	0	0	0	0	705	0	0	782	0
NSLC-0216-T01	456	204	0	1016	0	0	0	0	0	0	0	0	334	905
NSLC-0217-T01	667	1423	0	2400	0	870	0	0	0	520	0	0	2006	0
NSLC-0218-T01	48	41	337	363	0	0	0	0	0	23	0	0	0	0
NSLC-0219-T01	62	0	398	1054	0	0	0	0	0	0	0	0	0	0
NSLC-0220-T01	380	0	0	1293	0	0	0	0	0	0	0	0	1036	1399
NSLC-0221-T01	230	153	1706	2061	0	0	0	0	0	136	0	0	1035	0
NSLC-0222-T01	262	0	0	1282	0	0	0	0	0	0	0	0	0	1063
NSLC-0223-T01	190	0	0	779	0	0	0	0	0	0	0	0	0	888
NSLC-0224-T01	12	19	0	131	0	0	0	0	0	18	0	0	0	0
NSLC-0225-T01	132	199	912	1834	0	0	0	0	0	106	0	0	0	0
NSLC-0226-T01	293	227	1837	2053	0	0	0	0	0	198	0	0	806	0
NSLC-0227-T01	273	175	2045	2339	0	0	0	0	0	189	0	0	0	0
NSLC-0228-T01	306	195	0	2395	0	0	0	0	1477	819	0	0	0	5260
NSLC-0229-T01	146	0	0	574	0	0	0	0	0	0	0	0	0	893
NSLC-0230-T01	290	0	0	502	0	0	0	0	0	0	0	0	0	1031
NSLC-0231-T01	468	2427	0	930	0	0	0	0	0	1819	0	0	0	5243
NSLC-0232-T01	472	160	0	1619	0	0	0	0	0	0	0	0	0	1470
NSLC-0233-T01	763	524	0	2992	0	425	0	133	0	329	0	0	1462	0
NSLC-0236-T01	136	792	403	405	0	0	0	0	0	989	0	0	0	0
NSLC-0237-T01	143	111	557	1043	0	0	0	0	0	0	0	0	0	0
NSLC-0240-T01	103	101	941	1261	0	0	0	0	0	91	0	0	240	0
NSLC-0242-T01	257	701	0	3263	0	0	0	0	0	626	0	0	1333	0
NSLC-0243-T01	405	0	0	1301	0	0	0	0	0	0	0	0	391	0
NSLC-0244-T01	411	245	0	2383	0	0	0	0	0	210	0	0	608	2182
NSLC-0245-T01	533	397	0	4155	0	0	0	0	0	409	0	0	854	0
NSLC-0246-T01	162	0	0	252	0	0	0	0	536	0	0	0	0	1161
NSLC-0247-T01	265	658	0	3056	0	0	0	0	0	308	0	0	1061	0
NSLC-0248-T01	7	0	0	115	0	0	0	0	203	0	0	0	141	306
NSLC-0249-T01	289	262	912	1388	0	0	0	0	0	201	0	0	292	0
NSLC-0250-T01	239	0	0	751	0	0	0	0	720	0	0	0	0	2423
NSLC-0251-T01	145	116	768	1184	0	0	0	0	0	102	0	0	257	0
NSLC-0252-T01	128	0	0	582	0	0	0	0	0	0	0	0	0	517
NSLC-0253-T01	217	138	822	850	0	0	0	0	0	58	0	0	0	0
NSLC-0254-T01	43	0	0	179	0	0	0	0	0	0	0	0	0	382
NSLC-0255-T01	72	0	0	539	0	0	0	0	0	0	0	0	0	304
