Samples	SBS1	SBS2	SBS3	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS13	SBS17a	SBS17b	SBS18	SBS40
NSLC-0001-T01	321	216	1844	2120	0	0	0	0	0	188	0	0	873	0
NSLC-0002-T01	413	249	1579	2423	0	0	0	0	0	115	0	0	444	0
NSLC-0003-T01	1102	491	0	817	0	0	0	0	0	337	0	0	0	1094
NSLC-0004-T01	192	1162	1839	2018	0	0	0	0	0	1098	0	0	644	0
NSLC-0005-T01	577	7035	0	3501	0	0	0	0	0	6688	0	0	0	0
NSLC-0006-T01	38	0	0	444	0	0	0	0	0	0	0	0	0	288
NSLC-0007-T01	139	77	841	981	0	0	0	0	0	0	0	0	0	0
NSLC-0008-T01	269	575	0	2745	0	0	0	0	0	152	0	0	562	0
NSLC-0009-T01	282	358	0	2028	0	0	0	0	0	214	0	0	542	0
NSLC-0010-T01	9	0	0	91	0	0	0	0	0	0	0	0	0	176
NSLC-0011-T01	326	1085	0	3727	0	0	0	0	0	1316	0	0	1665	0
NSLC-0012-T01	278	319	1908	2144	0	0	0	0	0	129	0	0	711	0
NSLC-0013-T01	261	177	860	1737	0	0	0	0	0	0	0	0	369	0
NSLC-0014-T01	38	0	0	787	0	0	0	0	171	0	0	0	0	0
NSLC-0015-T01	111	162	1134	1827	0	0	0	0	0	153	0	0	278	0
NSLC-0016-T01	37	0	0	811	0	0	0	0	0	0	0	0	0	436
NSLC-0017-T01	271	311	1983	2247	0	0	0	0	0	541	0	0	658	0
NSLC-0018-T01	597	563	3830	2380	0	0	0	0	0	763	0	0	1672	0
NSLC-0019-T01	1	0	6	3	0	0	0	0	0	0	0	0	0	0
NSLC-0020-T01	2766	19252	0	6007	0	0	0	0	0	20425	0	0	0	0
NSLC-0021-T01	206	198	694	1407	0	0	0	0	0	77	0	0	286	0
NSLC-0022-T01	68	0	0	821	0	0	0	0	229	0	0	0	0	0
